		ndcg	pak	apk	map	no gt precision	no gt recall
	pagerank	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.9	0.8076923076923077	0.4468085106382977	
	
Ovarian Teratoma	bm25	1.0	1.0	1.0	0.8710000000000001	0.8717948717948718	0.6296296296296294	
	vsm	1.0	1.0	1.0	0.8543333333333333	0.8717948717948718	0.6296296296296294	
	class-match-measure	1.0	1.0	1.0	0.8543333333333333	0.8717948717948718	0.6296296296296294	
	tf_idf	1.0	1.0	1.0	0.9	0.8717948717948718	0.6296296296296294	
	boolean	1.0	1.0	1.0	0.8710000000000001	0.8717948717948718	0.6296296296296294	
	zooma	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.44222222222222224	0.9230769230769231	0.22222222222222218	
	bioportal	1.0	1.0	1.0	0.951	0.8717948717948718	0.6296296296296294	
	solr	1.0	1.0	1.0	0.8154444444444444	0.8717948717948718	0.6296296296296294	
	ols	1.0	1.0	1.0	0.9800000000000001	0.8717948717948718	0.6296296296296294	
	semantic-similarity	1.0	1.0	1.0	0.876	0.8717948717948718	0.6296296296296294	
	pagerank	1.0	1.0	1.0	0.9	0.8717948717948718	0.6296296296296294	
	
Ovarian Cystadenoma	bm25	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8710000000000001	0.9230769230769231	0.49999999999999956	
	vsm	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8543333333333333	0.9230769230769231	0.49999999999999956	
	class-match-measure	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8543333333333333	0.9230769230769231	0.49999999999999956	
	tf_idf	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.9	0.9230769230769231	0.49999999999999956	
	boolean	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8710000000000001	0.9230769230769231	0.49999999999999956	
	zooma	1.0	1.0	1.0	0.44222222222222224	0.7179487179487181	0.5833333333333329	
	bioportal	1.0	1.0	1.0	0.951	0.7179487179487181	0.5833333333333329	
	solr	0.9469024295259745	0.6666666865348816	0.6666666666666666	0.8154444444444444	0.9230769230769231	0.49999999999999956	
	ols	1.0	1.0	1.0	0.9800000000000001	0.7179487179487181	0.5833333333333329	
	semantic-similarity	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.876	0.9230769230769231	0.49999999999999956	
	pagerank	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.9	0.9230769230769231	0.49999999999999956	
	
