		ndcg	pak	apk	map	no gt precision	no gt recall
	tf_idf	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.0714285714285714	
	boolean	0.0	0.0	0.0	0.0	0.46153846153846156	0.2857142857142856	
	zooma	1.0	1.0	1.0	0.4866666666666667	0.4615384615384615	0.4285714285714284	
	bioportal	1.0	1.0	1.0	0.951	0.4615384615384615	0.4285714285714284	
	solr	0.9469024295259745	0.6666666865348816	0.6666666666666666	0.8154444444444444	0.5	0.30952380952380937	
	ols	1.0	1.0	1.0	0.9800000000000001	0.4615384615384615	0.4285714285714284	
	semantic-similarity	0.0	0.0	0.0	0.0	0.5384615384615384	0.16666666666666657	
	pagerank	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.0714285714285714	
	
Paclitaxel	bm25	0.0	0.0	0.0	0.0	0.7692307692307693	0.2631578947368421	
	vsm	0.6131471927654585	0.5	0.5	0.1	0.3076923076923077	0.21052631578947367	
	class-match-measure	0.0	0.0	0.0	0.0	0.7692307692307693	0.2631578947368421	
	tf_idf	0.6131471927654585	0.5	0.5	0.21000000000000002	0.7692307692307693	0.2631578947368421	
	boolean	0.0	0.0	0.0	0.0	0.7692307692307693	0.2631578947368421	
	zooma	0.6131471927654585	0.5	0.5	0.4866666666666667	0.46153846153846156	0.15789473684210525	
	bioportal	1.0	1.0	1.0	0.951	0.6153846153846154	0.42105263157894735	
	solr	1.0	1.0	1.0	0.8154444444444444	0.6153846153846154	0.42105263157894735	
	ols	1.0	1.0	1.0	0.9800000000000001	0.6153846153846154	0.42105263157894735	
	semantic-similarity	0.0	0.0	0.0	0.0	0.7692307692307693	0.2631578947368421	
	pagerank	0.6131471927654585	0.5	0.5	0.21000000000000002	0.7692307692307693	0.2631578947368421	
	
Carboplatin	bm25	0.0	0.0	0.0	0.0	0.7692307692307693	0.2631578947368421	
	vsm	0.6131471927654585	0.5	0.5	0.1	0.3076923076923077	0.21052631578947367	
	class-match-measure	0.0	0.0	0.0	0.0	0.7692307692307693	0.2631578947368421	
	tf_idf	0.6131471927654585	0.5	0.5	0.21000000000000002	0.7692307692307693	0.2631578947368421	
	boolean	0.0	0.0	0.0	0.0	0.7692307692307693	0.2631578947368421	
	zooma	0.6131471927654585	0.5	0.5	0.4866666666666667	0.46153846153846156	0.15789473684210525	
	bioportal	1.0	1.0	1.0	0.951	0.6153846153846154	0.42105263157894735	
	solr	1.0	1.0	1.0	0.8154444444444444	0.6153846153846154	0.42105263157894735	
	ols	1.0	1.0	1.0	0.9800000000000001	0.6153846153846154	0.42105263157894735	
	semantic-similarity	0.0	0.0	0.0	0.0	0.7692307692307693	0.2631578947368421	
	pagerank	0.6131471927654585	0.5	0.5	0.21000000000000002	0.7692307692307693	0.2631578947368421	
	
MYH7	bm25	0.6309297535714574	0.0	0.0	0.0	0.8461538461538461	0.3333333333333332	
